,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,relative_value_diff_latitude,relative_value_diff_longitude,latitude_sign_change,longitude_sign_change,latitude_whole_number_change,longitude_whole_number_change,coordinate_distance_km,latitude_precision_change,longitude_precision_change,latitude_length_increase,latitude_length_decrease,longitude_length_increase,longitude_length_decrease,longitude_shared_prefix,longitude_shared_prefix_length,latitude_shared_prefix,latitude_shared_prefix_length,full_cosine_similarity
3103,732742137,953,Zambia,q953$48BCF367-DED6-4631-BE77-4501D4A249C6,,625,coordinate location,"{""latitude"": -14.116667, ""longitude"": 27.633333}",,"{""latitude"": -14, ""longitude"": 28}",,globecoordinate,UPDATE,PROPERTY_VALUE,"country, landlocked country, republic, sovereign state",country at the crossroads of Central and Southern Africa,,,"unrefinement, property_value_update",,0.00826448622752096,0.013269011016513992,0.0,0.0,False,True,41.62358650979525,0,0,0,1,0,1,0,0,0,0,0.99118567
3111,767276009,24920719,Kali Juwana,Q24920719$3465698B-FE8F-400B-988B-33AB19B267A2,,625,coordinate location,"{""latitude"": -6.6691, ""longitude"": 111.1849}",,"{""latitude"": -6.6691666666667, ""longitude"": 111.185}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, refinement",,9.996351336756985e-06,8.994027066923625e-07,0.0,0.0,False,False,0.013301427658713314,1,1,1,0,0,1,1,2,1,4,0.96780074
3114,150024946,275491,Rif,Q275491$11d9f942-4c4f-859a-8c46-b5c6f122fe90,,625,coordinate location,"{""latitude"": 35, ""longitude"": 4}",,"{""latitude"": 35, ""longitude"": -4}",,globecoordinate,UPDATE,PROPERTY_VALUE,"area, mountain range",Mediterranean region of northern Morocco limited to the south by the Atlas region,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,728.4894367500733,0,0,0,0,0,0,0,0,0,0,0.9939131
3116,749991587,49303455,Knik Lake,Q49303455$BADCDD93-48F9-4E69-8BE9-B04F67C32E11,,625,coordinate location,"{""latitude"": 61.46003, ""longitude"": -149.73147}",,"{""latitude"": 61.46, ""longitude"": -149.73138888889}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,4.881221177799129e-07,5.417105035187623e-07,0.0,0.0,False,False,0.005449419329322216,1,1,0,1,1,0,1,3,1,2,0.9790922
3127,1604963523,1239,Indian Ocean,Q1239$9daebf81-4ff6-8c0e-286c-4ea2ba5e4ed4,,1332,coordinates of northernmost point,"{""latitude"": -31.1859, ""longitude"": 49.24}",,"{""latitude"": 31.18588888888889, ""longitude"": 49.24}",,globecoordinate,UPDATE,PROPERTY_VALUE,"ocean, region, sea","ocean bounded by Africa, Asia, Australia, and Antarctica",,,"refinement, re_formatting",,1.9999996437136298,0.0,1.0,0.0,False,False,6935.426490189903,0,0,1,0,0,0,1,2,1,3,0.98595405
3128,1944194398,403120,Ahıllı,Q403120$B3B1334E-EC0A-4A97-A59C-ACD368880F86,,625,coordinate location,"{""latitude"": 37.81613611, ""longitude"": 28.85245833}",,"{""latitude"": 37.817638, ""longitude"": 28.845257}",,globecoordinate,UPDATE,PROPERTY_VALUE,mahalle,"village in Babadağ, Denizli, Turkey",,,property_value_update,,3.971558584492615e-05,0.000249591557074121,0.0,0.0,False,False,0.6542464975987171,1,1,0,1,0,1,1,1,1,2,0.98555195
3135,1524069953,109323036,Beriulou Island,Q109323036$a4c6251f-4de6-e77c-96b0-f439070ecf66,,625,coordinate location,"{""latitude"": 3.245, ""longitude"": 100.432222}",,"{""latitude"": -3.245, ""longitude"": 100.43222194444445}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"re_formatting, property_value_update",,2.0,5.53164560487252e-10,1.0,0.0,False,False,721.6550739231863,0,0,0,0,1,0,1,5,1,3,0.9768766
3136,75775096,305880,Black Canyon of the Gunnison National Park,q305880$82A792AD-A9DD-4BBB-B64D-BD421B7B3287,,625,coordinate location,"{""latitude"": 38.5667, ""longitude"": 107.7167}",,"{""latitude"": 38.566666666667, ""longitude"": -107.71666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,National Park of the United States,"national park in Montrose County, Colorado, United States",,,"refinement, re_formatting",,8.643034794391224e-07,1.9999996905463127,0.0,1.0,False,False,10706.288219272281,1,1,1,0,1,0,1,3,1,3,0.9972906
3139,751475173,49302563,Glacier Lake,Q49302563$99D38B2F-472B-4AAD-B3F2-31677C62772F,,625,coordinate location,"{""latitude"": 67.52509, ""longitude"": -149.56924}",,"{""latitude"": 67.525, ""longitude"": -149.56916666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,1.3328379125469587e-06,4.902968686729732e-07,0.0,0.0,False,False,0.010481793028320096,1,1,0,1,1,0,1,3,1,3,0.98198086
3141,73492081,185066,Cholet,q185066$A36FDDBF-3BFE-4AB6-8339-F747E5B751C5,,625,coordinate location,"{""latitude"": 47.06, ""longitude"": 0.87833333333333}",,"{""latitude"": 47.06, ""longitude"": -0.87833333333333}",,globecoordinate,UPDATE,PROPERTY_VALUE,"city, commune of France","commune in Maine-et-Loire, France",,,re_formatting,,0.0,2.0,0.0,1.0,False,False,133.06392502110626,1,1,0,0,0,0,1,14,1,2,0.99574566
3145,1524072243,109323056,Batu Mandi Island,Q109323056$e96ac008-4792-777a-cbb1-d18493edd4fc,,625,coordinate location,"{""latitude"": -1.5644444444444443, ""longitude"": 98.57333333333334}",,"{""latitude"": 1.5644444444444443, ""longitude"": 98.57333333333334}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,2.0,0.0,1.0,0.0,False,False,347.9165704789749,0,0,0,0,0,0,1,14,1,16,0.9789148
3146,268160457,270448,Mayres,q270448$FFF4CDD3-0002-40EE-897A-936D5979C6F1,,625,coordinate location,"{""latitude"": 45.3892, ""longitude"": 3.6958}",,"{""latitude"": 45.388333333333, ""longitude"": 3.695}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Puy-de-Dôme, France",,,"unrefinement, property_value_update",,1.9094116375723088e-05,0.0002164619297582001,0.0,0.0,False,False,0.11484711785115925,1,1,1,0,0,1,1,3,1,2,0.9934257
3151,1858214272,117258211,Alcatraz Island,Q117258211$9609e0ba-434c-9b0b-55da-74236a83b51e,,625,coordinate location,"{""latitude"": 10.507222222222222, ""longitude"": 67.97444444444444}",,"{""latitude"": 10.507222222222222, ""longitude"": -67.97444444444444}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,14613.153928939435,1,1,0,0,0,0,1,14,1,15,0.97432834
3154,749260106,49303212,Island Lake,Q49303212$2B8CD6D1-8435-47BC-B96D-D67364DE287F,,625,coordinate location,"{""latitude"": 43.79511, ""longitude"": -97.13023}",,"{""latitude"": 43.795, ""longitude"": -97.130277777778}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,2.511695940468887e-06,4.918940067133055e-07,0.0,0.0,False,False,0.012818489213037765,1,1,0,1,1,0,1,4,1,3,0.9738176
3156,362496873,967260,Baradères Arrondissement,Q967260$FEE7CFF4-39A5-4E08-8217-D1E692D2232F,,625,coordinate location,"{""latitude"": 18.51666667, ""longitude"": 73.35}",,"{""latitude"": 18.516666666667, ""longitude"": -73.35}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"re_formatting, property_value_update",,1.7999998128436164e-10,2.0,0.0,1.0,False,False,14521.037449031368,1,1,1,0,0,0,1,2,1,7,0.9774332
3157,865649912,282897,New York Yacht Club,q282897$8DF70020-E00A-4E87-8903-628747CBFC48,,625,coordinate location,"{""latitude"": 40.7557, ""longitude"": 73.9816}",,"{""latitude"": 40.755694444444, ""longitude"": -73.981611111111}",,globecoordinate,UPDATE,PROPERTY_VALUE,yacht club,club in New York City,,,"refinement, re_formatting",,1.363135952494498e-07,2.000000150187492,0.0,1.0,False,False,10391.478214565232,1,1,1,0,1,0,1,4,1,3,0.9885248
3159,2296213242,5332,Saratov,q5332$CC078EE0-815F-4E82-A72C-69EC9A6696AE,,625,coordinate location,"{""latitude"": 51.533333333333, ""longitude"": 46}",,"{""latitude"": 51.53, ""longitude"": 46.035}",,globecoordinate,UPDATE,PROPERTY_VALUE,"big city, city or town","city in Saratov Oblast, Russia",,,"refinement, unrefinement",,6.468305303356471e-05,0.0007608695652173171,0.0,0.0,False,False,2.4492407885971628,1,1,0,1,1,0,0,0,1,2,0.99454147
3163,463075941,100081,Novi di Modena,q100081$D5AD2DC5-9148-4C7A-BD81-8A11075EF957,,625,coordinate location,"{""latitude"": 44.883333333333, ""longitude"": 10.9}",,"{""latitude"": 44.89336, ""longitude"": 10.90101}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of Italy,Italian comune,,,"refinement, property_value_update",,0.0002233939844114913,9.266055045863001e-05,0.0,0.0,False,False,1.117750087959716,1,1,0,1,1,0,1,1,1,1,0.989506
3167,70052854,59095,Zhuhai,q59095$83C08CBA-706A-44FC-BCBE-6855B7E1F2AF,,625,coordinate location,"{""latitude"": 22.26845, ""longitude"": 113.54744}",,"{""latitude"": 49.183333333333, ""longitude"": -122.85}",,globecoordinate,UPDATE,PROPERTY_VALUE,"big city, prefecture-level city, special economic zone","prefecture-level city in Guangdong, China",,,property_value_update,,1.2086554445115398,2.081926637888093,0.0,1.0,True,True,10313.312981459745,0,0,1,0,0,1,0,0,0,0,0.99573
3168,371138883,1951,Alberta,Q1951$cb2da409-4c17-60ec-fcf6-a27ef51d806a,,1334,coordinates of easternmost point,"{""latitude"": 49, ""longitude"": -110}",,"{""latitude"": 54.5, ""longitude"": -110}",,globecoordinate,UPDATE,PROPERTY_VALUE,province of Canada,province of Canada,,,property_value_update,,0.11224489795918367,0.0,0.0,0.0,True,False,611.5720965450732,0,0,1,0,0,0,0,0,0,0,0.9836507
3180,748644845,49302766,Gruskka Lake,Q49302766$44E29305-F990-4D24-905C-9B31EE4ECADD,,625,coordinate location,"{""latitude"": 60.75562, ""longitude"": -150.79005}",,"{""latitude"": 60.755555555556, ""longitude"": -150.79}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,1.0607157658812344e-06,3.3158686541897614e-07,0.0,0.0,False,False,0.007663384036021349,1,1,1,0,0,1,1,2,1,3,0.97389245
3184,1563523786,381356,HM Prison Holloway,q381356$9059EB38-11CC-4374-8053-C71416E4D28D,,625,coordinate location,"{""latitude"": 51.554008333333, ""longitude"": -0.12530833333333}",,"{""latitude"": 51.55416666666667, ""longitude"": -0.125}",,globecoordinate,UPDATE,PROPERTY_VALUE,HM Prison,former women's prison in north London,,,"unrefinement, property_value_update",,3.0712128655778326e-06,0.002460597193562583,0.0,0.0,False,False,0.02764793242841455,1,1,1,0,0,1,1,3,1,3,0.9913386
3194,1880797845,201902,Mole Antonelliana,q201902$0D1AD79F-655B-4AF4-B5F2-AB93F0529E25,,625,coordinate location,"{""latitude"": 45.068888888889, ""longitude"": 7.6930555555556}",,"{""latitude"": 45.06898, ""longitude"": 7.69324}",,globecoordinate,UPDATE,PROPERTY_VALUE,"museum, tourist attraction, tower","major landmark building in Turin, Italy",,,property_value_update,,2.021596565845234e-06,2.3975446825826922e-05,0.0,0.0,False,False,0.017676209798466944,1,1,0,1,0,1,1,3,1,3,0.9911836
3202,1596472217,314619,Cateel,q314619$22371F37-D52D-423A-90F1-C907E2F5243E,,625,coordinate location,"{""latitude"": 7.7833333333333, ""longitude"": 126.45}",,"{""latitude"": 7.79, ""longitude"": 126.45305555555555}",,globecoordinate,UPDATE,PROPERTY_VALUE,municipality of the Philippines,municipality of the Philippines in the province of Davao Oriental,,,"refinement, property_value_update",,0.0008565310492547809,2.4164140415563777e-05,0.0,0.0,False,False,0.8141525408918044,1,1,0,1,1,0,1,2,1,1,0.9946744
3208,1524565360,109323902,Ibanlaut Island,Q109323902$015fa742-484b-3707-b4d3-c524b10adf0b,,625,coordinate location,"{""latitude"": 2.8475, ""longitude"": 100.150556}",,"{""latitude"": -2.8475, ""longitude"": 100.15055611111111}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,2.0,1.1094408732437358e-09,1.0,0.0,False,False,633.2551072407621,0,0,0,0,1,0,1,6,1,4,0.98099756
3209,383802988,26746595,Nusa Henu,Q26746595$804ab857-4917-118a-8431-2087e8d93543,,625,coordinate location,"{""latitude"": 10.466666666667, ""longitude"": 123.4}",,"{""latitude"": -10.466666666667, ""longitude"": 123.4}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,2.0,0.0,1.0,0.0,False,False,2327.6804644261706,0,0,0,0,0,0,1,1,1,12,0.96787924
3223,1891746432,1193,Manipur,q1193$71B19161-52F0-4FDD-B71B-563F6595CCF6,,625,coordinate location,"{""latitude"": 24.806680555556, ""longitude"": 93.941688888889}",,"{""latitude"": 24.81, ""longitude"": 93.94}",,globecoordinate,UPDATE,PROPERTY_VALUE,state of India,state in northeastern India,,,unrefinement,,0.0001338125202428895,1.7978055419081236e-05,0.0,0.0,False,False,0.4065676263110268,1,1,0,1,0,1,1,2,1,1,0.9859196
3224,792460689,24910868,Bukii Kalangkangan,Q24910868$F81F2CC5-293B-48C0-BDA0-D09CAEF598C5,,625,coordinate location,"{""latitude"": 1.0828, ""longitude"": 120.9236}",,"{""latitude"": 1.0827777777778, ""longitude"": 120.92361111111}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,refinement,,2.052292408564952e-05,9.188537235500099e-08,0.0,0.0,False,False,0.0027625614508781887,1,1,1,0,1,0,1,4,1,3,0.97168064
3228,541133126,124873,Mindanao,q124873$B8D3AC3C-A7DA-42EA-A2C6-857B9CB095EB,,625,coordinate location,"{""latitude"": 8, ""longitude"": 125}",,"{""latitude"": 7.5, ""longitude"": 125}",,globecoordinate,UPDATE,PROPERTY_VALUE,island,second largest island of the Philippines,,,property_value_update,,0.0625,0.0,0.0,0.0,True,False,55.597463322279445,0,0,1,0,0,0,0,0,0,0,0.9910408
3233,2234162105,83407,Mons,q83407$054DD4D1-C194-4615-8EF8-8906F82A8504,,625,coordinate location,"{""latitude"": 50.4549568, ""longitude"": 3.951958}",,"{""latitude"": 50.45472222222222, ""longitude"": 3.9525}",,globecoordinate,UPDATE,PROPERTY_VALUE,"Belgian municipality with the title of city, municipality of Belgium","city in Wallonia, Belgium",,,property_value_update,,4.64925138484714e-06,0.0001371472065240229,0.0,0.0,False,False,0.04639769402508043,1,1,1,0,0,1,1,2,1,3,0.99343693
3242,263642073,22076,Ibigny,q22076$49A4F928-A115-4672-991C-FD7D6D2BB6C7,,625,coordinate location,"{""latitude"": 48.6439, ""longitude"": 6.9003}",,"{""latitude"": 48.643333333333, ""longitude"": 6.9}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Moselle, France",,,"property_value_update, unrefinement",,1.1649285254784716e-05,4.347637059248161e-05,0.0,0.0,False,False,0.06675430238630758,1,1,1,0,0,1,1,1,1,3,0.9923767
3249,1575885890,201698,Crozet Islands,Q201698$94ab60a9-4419-c9cd-1711-66fdffc18e1e,,625,coordinate location,"{""latitude"": -46.416666666666664, ""longitude"": 51}",,"{""latitude"": -46.38, ""longitude"": 51.67}",,globecoordinate,UPDATE,PROPERTY_VALUE,"archipelago, district of the French Southern and Antarctic Lands","district of the French Southern and Antarctic Lands, archipelago in the southern Indian Ocean",,,"refinement, property_value_update",,0.0007899461400358006,0.013137254901960818,0.0,0.0,False,False,51.53999988050802,1,1,0,1,1,0,0,0,0,0,0.9963743
3256,2297338009,456817,Amber Fort,Q456817$46331414-DC42-4F59-A41E-D6536BAD61AF,,625,coordinate location,"{""latitude"": 40.711666666666666, ""longitude"": -74.0125}",,"{""latitude"": 26.9859, ""longitude"": 75.8507}",,globecoordinate,UPDATE,PROPERTY_VALUE,"fortress, palace","fort and palace in Rajasthan, India",,,property_value_update,,0.33714578130756945,2.0248363452119573,0.0,1.0,True,True,11870.028181617969,0,0,0,1,0,0,0,0,0,0,0.9921652
3267,730761855,1020,Malawi,q1020$E92A30C9-1724-4B79-BF15-4E130A2DBAA7,,625,coordinate location,"{""latitude"": -13.016667, ""longitude"": 33.6}",,"{""latitude"": 13, ""longitude"": 34}",,globecoordinate,UPDATE,PROPERTY_VALUE,"country, landlocked country, republic, sovereign state",sovereign state in Africa,,,property_value_update,,1.998719564693481,0.011904761904761862,1.0,0.0,False,True,2893.2573829450757,0,0,0,1,0,1,0,0,0,0,0.9872712
3282,974965228,7792,Sakhalin,q7792$11AB1EC0-D4EA-46E8-9930-5FC5CDA9456F,,625,coordinate location,"{""latitude"": 51, ""longitude"": 143}",,"{""latitude"": 50.5, ""longitude"": 143}",,globecoordinate,UPDATE,PROPERTY_VALUE,"executive branch, island",large Russian island in the North Pacific Ocean,,,property_value_update,,0.00980392156862745,0.0,0.0,0.0,True,False,55.597463322279445,0,0,1,0,0,0,0,0,0,0,0.99459124
3287,788609800,24910965,Olat Sekeleang,Q24910965$81E5BBEC-D350-40D9-9BA0-78FDF0A9558B,,625,coordinate location,"{""latitude"": -8.5386, ""longitude"": 117.2732}",,"{""latitude"": -8.5386111111111, ""longitude"": 117.27333333333}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"refinement, property_value_update",,1.3012801981165042e-06,1.1369462929143971e-06,0.0,0.0,False,False,0.014713623289674668,1,1,1,0,1,0,1,3,1,4,0.9772479
3297,751475065,49302568,Glacier Lake,Q49302568$F923D684-6B5D-47C8-BDF8-77CB821E65A1,,625,coordinate location,"{""latitude"": 47.46753, ""longitude"": -121.29617}",,"{""latitude"": 47.4675, ""longitude"": -121.29611111111}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, refinement",,6.320109766678729e-07,4.854966979560175e-07,0.0,0.0,False,False,0.005542803024904791,1,1,0,1,1,0,1,4,1,4,0.98235023
3317,745897101,49304602,Long Lake,Q49304602$9EEC7955-2655-4D34-8EE2-16F2BB72F49C,,625,coordinate location,"{""latitude"": 31.05114, ""longitude"": -91.73003}",,"{""latitude"": 31.051111111111, ""longitude"": -91.73}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,9.303648433479996e-07,3.270466606771147e-07,0.0,0.0,False,False,0.004299550948925938,1,1,1,0,0,1,1,2,1,4,0.9812448
3330,747952564,49302868,Hawksnest Pond,Q49302868$9AFD8A0F-5B66-43E0-AA87-4F4D1ACDF608,,625,coordinate location,"{""latitude"": 41.7142, ""longitude"": -70.04503}",,"{""latitude"": 41.714166666667, ""longitude"": -70.045}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, refinement",,7.990883919740712e-07,4.2829591186286244e-07,0.0,0.0,False,False,0.004465291823775939,1,1,1,0,0,1,1,3,1,3,0.9765998
3344,75058837,49206,University of Connecticut,q49206$D0591557-AB71-4DD2-A004-BE8EC7C16753,,625,coordinate location,"{""latitude"": 72, ""longitude"": -15.13}",,"{""latitude"": 41.807166666667, ""longitude"": -72.2525}",,globecoordinate,UPDATE,PROPERTY_VALUE,"land-grant university, public educational institution of the United States, public research university, sea grant institution, space grant institution","public research university in Storrs, Connecticut, United States",,,property_value_update,,0.41934490740740277,3.775446133509583,0.0,0.0,True,True,4516.807160079648,0,0,1,0,1,0,0,0,0,0,0.99483395
3348,399314985,27588394,"Embassy of Sweden, Santiago de Chile",Q27588394$3C9F1E74-8F27-4CCB-8DD7-31A02911AC80,,625,coordinate location,"{""latitude"": -33.42067, ""longitude"": 70.60645}",,"{""latitude"": -33.42067, ""longitude"": -70.60645}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,11549.392498689249,1,1,0,0,0,0,1,5,1,5,0.98272395
3357,1893086849,201398,Halmahera,Q201398$530FC705-0087-4614-BD49-8E53A915563B,,625,coordinate location,"{""latitude"": 0.73559, ""longitude"": 127.95149}",,"{""latitude"": 0.65, ""longitude"": 127.9}",,globecoordinate,UPDATE,PROPERTY_VALUE,island,island in Indonesia,,,"unrefinement, property_value_update",,0.11635557851520541,0.00040241813518546084,0.0,0.0,False,False,11.106408499963935,1,1,0,1,0,1,1,1,0,0,0.98661566
3359,1220485630,36678,West Bank,q36678$B4E84143-9DD6-4C1C-A4FF-4CFE5D730A70,,625,coordinate location,"{""latitude"": 32, ""longitude"": 35.383333333333}",,"{""latitude"": 32, ""longitude"": 35.4}",,globecoordinate,UPDATE,PROPERTY_VALUE,"administrative territorial entity, disputed territory, occupied territory, region, Region of Palestine",landlocked territory near the Mediterranean coast of Western Asia,,,unrefinement,,0.0,0.00047103155912387655,0.0,0.0,False,False,1.571644095861467,1,1,0,0,0,1,0,0,0,0,0.99504554
3362,75779045,379156,Advance,q379156$9E876333-12C6-4A3A-9169-F773846A3E53,,625,coordinate location,"{""latitude"": 37.10417, ""longitude"": 89.91139}",,"{""latitude"": 37.104166666667, ""longitude"": -89.911666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,city in the United States,"city in Stoddard County, Missouri, United States",,,property_value_update,,8.98371532141332e-08,2.0000030771036577,0.0,1.0,False,False,11763.476161636932,1,1,1,0,1,0,1,3,1,4,0.9940616
3363,292659323,242111,Death Valley National Park,q242111$021E4C9A-CC46-4654-9AF1-38CCD59F04D5,,625,coordinate location,"{""latitude"": 36.241888888889, ""longitude"": 116.82605555556}",,"{""latitude"": 36.241888888889, ""longitude"": -116.82605555556}",,globecoordinate,UPDATE,PROPERTY_VALUE,National Park of the United States,US national park in the state of California,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,10237.097900896671,1,1,0,0,0,0,1,11,1,12,0.9963885
3364,637139888,49344494,Laverlochère-Angliers,Q49344494$ac1453da-41e1-df83-c1d0-2f1354c5fe1b,,625,coordinate location,"{""latitude"": 47.433333333333, ""longitude"": 79.3}",,"{""latitude"": 47.433333333333, ""longitude"": -79.3}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,9264.371379972767,1,1,0,0,0,0,1,1,1,12,0.97260463
3369,1524072717,109323059,"Pulau Bangke, Tapanuli Tengah",Q109323059$2c27e5d7-4db7-6619-f627-746b0d5b756a,,625,coordinate location,"{""latitude"": -1.676388888888889, ""longitude"": 98.54694444444445}",,"{""latitude"": 1.676388888888889, ""longitude"": 98.54694444444445}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,2.0,0.0,1.0,0.0,False,False,372.8118790555066,0,0,0,0,0,0,1,14,1,15,0.9726745
3394,268001258,223971,Loc-Envel,q223971$940D7A8A-7E33-42F4-8CA6-64492BB14649,,625,coordinate location,"{""latitude"": 48.5172, ""longitude"": -3.4078}",,"{""latitude"": 48.516388888889, ""longitude"": -3.4091666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Côtes-d'Armor, France",,,property_value_update,,1.67180115712655e-05,0.00040104074966255206,0.0,0.0,False,False,0.13515716200469038,1,1,1,0,1,0,1,2,1,2,0.9880228
3395,747230812,49302656,Grandy Lake,Q49302656$A16B63A4-9402-435A-906A-928009F1AF5A,,625,coordinate location,"{""latitude"": 48.5651, ""longitude"": -121.80203}",,"{""latitude"": 48.565, ""longitude"": -121.80194444444}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,2.059091817031565e-06,7.024148941150311e-07,0.0,0.0,False,False,0.012778035446279248,1,1,0,1,1,0,1,2,1,3,0.9764072
3412,269144429,199549,Langogne,q199549$695E1722-9C52-417E-AE45-3D1DE1CE7E7C,,625,coordinate location,"{""latitude"": 44.7278, ""longitude"": 3.8558}",,"{""latitude"": 44.726666666667, ""longitude"": 3.855}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Lozère, France",,,"unrefinement, property_value_update",,2.5338454674754264e-05,0.0002074796410601981,0.0,0.0,False,False,0.14098057542635073,1,1,1,0,0,1,1,3,1,2,0.9922207
3434,356211707,7148331,Pattarkkulam,Q7148331$717224B9-969D-428E-97B0-C736B8FCAF72,,625,coordinate location,"{""latitude"": 47.63959722, ""longitude"": -122.12845}",,"{""latitude"": 47.639597222222, ""longitude"": 122.12845}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"re_formatting, refinement",,4.664191696626665e-11,2.0,0.0,1.0,False,False,7737.497986290341,1,1,1,0,0,0,1,5,1,8,0.97054833
3435,267879331,208278,Montigny,q208278$5DFA6055-588C-4BD8-854B-882EB24E1C86,,625,coordinate location,"{""latitude"": 48.51666667, ""longitude"": 6.800555556}",,"{""latitude"": 48.515833333333, ""longitude"": 6.8}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Meurthe-et-Moselle, France",,,"unrefinement, property_value_update",,1.717629681091485e-05,8.169273751612355e-05,0.0,0.0,False,False,0.10129591282604677,1,1,1,0,0,1,1,1,1,2,0.99207824
3442,267601298,178760,Surdoux,q178760$6BBCD63E-72BD-4DE8-ACDB-675CA37B5BCB,,625,coordinate location,"{""latitude"": 45.6064, ""longitude"": 1.6511}",,"{""latitude"": 45.605555555556, ""longitude"": 1.6502777777778}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Haute-Vienne, France",,,property_value_update,,1.8515919783161617e-05,0.0004979845086306554,0.0,0.0,False,False,0.11361278917093383,1,1,1,0,1,0,1,2,1,2,0.9854615
3447,1231503230,371471,Vágar Airport,q371471$6BD81CEA-DAED-4C84-9EA4-EDEA71E933FE,,625,coordinate location,"{""latitude"": 62.063611111111, ""longitude"": -7.2772222222222}",,"{""latitude"": 62.0636, ""longitude"": -7.2772}",,globecoordinate,UPDATE,PROPERTY_VALUE,"airport, commercial traffic aerodrome, international airport",airport in the Faroe Islands,,,unrefinement,,1.790277878009651e-07,3.0536682159167985e-06,0.0,0.0,False,False,0.0016931007761271676,1,1,0,1,0,1,1,4,1,4,0.99075985
3451,268457143,324978,Heidwiller,q324978$16E21CA6-0679-4788-9184-D42EC14BE61F,,625,coordinate location,"{""latitude"": 47.6617, ""longitude"": 7.2447}",,"{""latitude"": 47.661111111111, ""longitude"": 7.2438888888889}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Haut-Rhin, France",,,property_value_update,,1.2355599758412843e-05,0.00011195924070003582,0.0,0.0,False,False,0.08931832250600216,1,1,1,0,1,0,1,2,1,3,0.98972076
3463,1524070169,109323039,Batu Layar Island,Q109323039$e011b6a8-4480-369a-3941-ddb43f8881aa,,625,coordinate location,"{""latitude"": -1.5647222222222221, ""longitude"": 98.5736111111111}",,"{""latitude"": 1.5647222222222221, ""longitude"": 98.5736111111111}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,2.0,0.0,1.0,0.0,False,False,347.9783454382218,0,0,0,0,0,0,1,13,1,16,0.9776727
3469,500522600,29466,Kaaba,q29466$017A94F5-7499-43DC-BFCB-2A4795FF4FFF,,625,coordinate location,"{""latitude"": 21.422513888889, ""longitude"": 39.826208333333}",,"{""latitude"": 21.4225, ""longitude"": 39.826166666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,"building, cube, mosque, sacred place","cubical shrine in Mecca, Saudi Arabia; direction of prayer for Muslims",,,"unrefinement, property_value_update",,6.483314270540361e-07,1.0462122241565812e-06,0.0,0.0,False,False,0.004581192475763747,1,1,0,1,0,0,1,3,1,4,0.9950364
